All,සියලුම
"Downloadable Information","බාගත හැකි තොරතුරු"
"Add New Link","නව සබැඳිය එක් කරන්න"
"Upload Files","ගොනු උඩුගත කරන්න"
Unlimited,අසීමිතයි
"Upload type can not be determined.","උඩුගත කිරීමේ වර්ගය තීරණය කළ නොහැක."
"File can not be moved from temporary folder to the destination folder.","ගොනුව තාවකාලික ෆෝල්ඩරයෙන් ගමනාන්ත ෆෝල්ඩරය වෙත ගෙන යා නොහැක."
"Something went wrong while getting the requested content.","ඉල්ලූ අන්තර්ගතය ලබා ගැනීමේදී යම් දෙයක් වැරදී ඇත."
"My Downloadable Products","මගේ බාගත හැකි නිෂ්පාදන"
"We can't find the link you requested.","ඔබ ඉල්ලූ සබැඳිය අපට සොයාගත නොහැක."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","කරුණාකර ඔබේ නිෂ්පාදනය බාගැනීමට හෝ <a href=""%1"">%2</a>මිලදී ගැනීමට පුරනය වන්න."
"Please sign in to download your product.","කරුණාකර ඔබේ නිෂ්පාදනය බාගැනීමට පුරනය වන්න."
"The link has expired.","සබැඳිය කල් ඉකුත් වී ඇත."
"The link is not available.","සබැඳිය නොමැත."
"Sorry, there was an error getting requested content. Please contact the store owner.","සමාවන්න, ඉල්ලූ අන්තර්ගතය ලබා ගැනීමේ දෝෂයක් ඇති විය. කරුණාකර ගබඩා හිමිකරු අමතන්න."
"Please set resource file and link type.","කරුණාකර සම්පත් ගොනුව සහ සබැඳි වර්ගය සකසන්න."
"Invalid download link type.","වලංගු නොවන බාගත කිරීමේ සබැඳි වර්ගය."
"Provided content must be valid base64 encoded data.","සපයන ලද අන්තර්ගතය වලංගු base64 කේතන දත්ත විය යුතුය."
"Provided file name contains forbidden characters.","සපයන ලද ගොනු නාමයේ තහනම් අක්ෂර අඩංගු වේ."
"Link file not provided","සබැඳි ගොනුව සපයා නැත"
"Link price must have numeric positive value.","සබැඳි මිලට සංඛ්‍යාත්මක ධන අගයක් තිබිය යුතුය."
"Number of downloads must be a positive integer.","බාගැනීම් ගණන ධන නිඛිලයක් විය යුතුය."
"Sort order must be a positive integer.","වර්ග කිරීමේ අනුපිළිවෙල ධන නිඛිලයක් විය යුතුය."
"Link URL must have valid format.","සබැඳි URL හි වලංගු ආකෘතියක් තිබිය යුතුය."
"Link URL's domain is not in list of downloadable_domains in env.php.","සබැඳි URL හි වසම env.php හි බාගත හැකි_ වසම් ලැයිස්තුවේ නොමැත."
"Provided file content must be valid base64 encoded data.","සපයන ලද ගොනු අන්තර්ගතය වලංගු base64 කේතන දත්ත විය යුතුය."
"Link file not found. Please try again.","සබැඳි ගොනුව හමු නොවීය. කරුණාකර නැවත උත්සාහ කරන්න."
"Sample URL must have valid format.","නියැදි URL හි වලංගු ආකෘතියක් තිබිය යුතුය."
"Sample URL's domain is not in list of downloadable_domains in env.php.","නියැදි URL හි වසම env.php හි බාගත කළ හැකි_ වසම් ලැයිස්තුවේ නොමැත."
"Link sample file not found. Please try again.","සබැඳි නියැදි ගොනුව හමු නොවීය. කරුණාකර නැවත උත්සාහ කරන්න."
"Order id cannot be null","ඇණවුම් හැඳුනුම්පත ශුන්‍ය විය නොහැක"
"Order item id cannot be null","ඇණවුම් අයිතම හැඳුනුම්පත ශුන්‍ය විය නොහැක"
"The product needs to be the downloadable type. Verify the product and try again.","නිෂ්පාදනය බාගත කළ හැකි වර්ගය විය යුතුය. නිෂ්පාදනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The link information is invalid. Verify the link and try again.","සබැඳි තොරතුරු වලංගු නැත. සබැඳිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The link title is empty. Enter the link title and try again.","සබැඳි මාතෘකාව හිස් ය. සබැඳි මාතෘකාව ඇතුළත් කර නැවත උත්සාහ කරන්න."
"No downloadable link with the provided ID was found. Verify the ID and try again.","සපයා ඇති හැඳුනුම්පත සමඟ බාගත කළ හැකි සබැඳියක් හමු නොවීය. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The downloadable link isn't related to the product. Verify the link and try again.","බාගත හැකි සබැඳිය නිෂ්පාදනයට සම්බන්ධ නොවේ. සබැඳිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The link with ""%1"" ID can't be deleted.","""%1"" ID සහිත සබැඳිය මැකිය නොහැක."
"The link type is invalid. Verify and try again.","සබැඳි වර්ගය වලංගු නැත. තහවුරු කර නැවත උත්සාහ කරන්න."
"The link sample type is invalid. Verify and try again.","සබැඳි නියැදි වර්ගය වලංගු නොවේ. තහවුරු කර නැවත උත්සාහ කරන්න."
"Please specify product link(s).","කරුණාකර නිෂ්පාදන සබැඳි(ය) සඳහන් කරන්න."
"Sample file not provided","නියැදි ගොනුව සපයා නැත"
